Cluster,GO biological process ,Classification,Goterm,Homo sapiens - REFLIST (20589),upload_1 (86),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (raw P-value),upload_1 (FDR),ArbitraryNumberRank
Cluster-19,organonitrogen compound biosynthetic process ,Biosynthetic Process,GO:1901566,1333,36,7.7,+,4.67,3.85E-15,3.55E-12,17
Cluster-19,peptide biosynthetic process ,Biosynthetic Process,GO:0043043,408,27,2.36,+,11.45,1.58E-20,6.20E-17,4
Cluster-19,peptide metabolic process ,Biosynthetic Process,GO:0006518,537,28,3.1,+,9.02,1.11E-18,2.90E-15,6
Cluster-19,gene expression ,Gene Expression,GO:0010467,2314,51,13.37,+,3.81,2.87E-18,5.62E-15,7
Cluster-19,protein folding ,Intracellular Process,GO:0006457,221,16,1.28,+,12.53,4.93E-13,3.36E-10,23
Cluster-19,cellular amide metabolic process ,Metabolic Process,GO:0043603,802,30,4.64,+,6.47,3.35E-16,4.38E-13,12
Cluster-19,cellular aromatic compound metabolic process ,Metabolic Process,GO:0006725,3050,54,17.63,+,3.06,2.34E-15,2.44E-12,15
Cluster-19,cellular macromolecule metabolic process ,Metabolic Process,GO:0044260,2518,49,14.55,+,3.37,2.6E-15,2.54E-12,16
Cluster-19,cellular metabolic process ,Metabolic Process,GO:0044237,6606,85,38.18,+,2.23,2.55E-18,5.71E-15,8
Cluster-19,cellular nitrogen compound metabolic process ,Metabolic Process,GO:0034641,3573,75,20.65,+,3.63,3.27E-28,5.13E-24,1
Cluster-19,heterocycle metabolic process ,Metabolic Process,GO:0046483,2999,55,17.33,+,3.17,2.31E-16,3.29E-13,10
Cluster-19,macromolecule metabolic process ,Metabolic Process,GO:0043170,5941,74,34.34,+,2.16,8.96E-14,6.38E-11,22
Cluster-19,metabolic process ,Metabolic Process,GO:0008152,8131,89,47,+,1.89,8.41E-15,7.32E-12,18
Cluster-19,nitrogen compound metabolic process ,Metabolic Process,GO:0006807,6710,85,38.78,+,2.19,1.06E-17,1.85E-14,9
Cluster-19,organic cyclic compound metabolic process ,Metabolic Process,GO:1901360,3292,55,19.03,+,2.89,1.31E-14,1.08E-11,19
Cluster-19,organic substance metabolic process ,Metabolic Process,GO:0071704,7697,88,44.49,+,1.98,7.63E-16,8.55E-13,14
Cluster-19,primary metabolic process ,Metabolic Process,GO:0044238,7228,86,41.78,+,2.06,2.28E-16,3.58E-13,11
Cluster-19,translation ,Gene Expression,GO:0006412,379,27,2.19,+,12.33,2.63E-21,1.37E-17,3
Cluster-19,cytoplasmic translation ,Gene Expression,GO:0002181,124,22,0.72,+,30.7,2.58E-25,2.02E-21,2
Cluster-19,nucleic acid metabolic process ,Metabolic Process,GO:0090304,2276,43,13.15,+,3.27,7.89E-13,5.16E-10,24
Cluster-19,nucleobase-containing compound metabolic process ,Metabolic Process,GO:0006139,2825,53,16.33,+,3.25,4.42E-16,5.34E-13,13
Cluster-19,RNA processing ,Gene Expression,GO:0006396,868,27,5.02,+,5.38,9.19E-13,5.77E-10,25
Cluster-2,"blood coagulation, fibrin clot formation ",Blood Clotting,GO:0072378,24,3,0.01,+, > 100,3.29E-07,2.58E-04,18
Cluster-2,fibrinolysis ,Blood Clotting,GO:0042730,19,5,0.01,+, > 100,6.33E-13,9.92E-09,1
Cluster-2,negative regulation of blood coagulation ,Blood Clotting,GO:0030195,46,5,0.02,+, > 100,3.47E-11,2.72E-07,4
Cluster-2,negative regulation of coagulation ,Blood Clotting,GO:0050819,50,5,0.03,+, > 100,5.14E-11,2.01E-07,3
Cluster-2,negative regulation of hemostasis ,Blood Clotting,GO:1900047,47,5,0.03,+, > 100,3.84E-11,2.01E-07,2
Cluster-2,plasminogen activation ,Blood Clotting,GO:0031639,11,3,0.01,+, > 100,4.11E-08,4.96E-05,13
Cluster-2,platelet activation ,Blood Clotting,GO:0030168,97,4,0.05,+,77.18,1.75E-07,1.71E-04,16
Cluster-2,regulation of blood coagulation ,Blood Clotting,GO:0030193,70,5,0.04,+, > 100,2.54E-10,6.63E-07,6
Cluster-2,regulation of coagulation ,Blood Clotting,GO:0050818,75,5,0.04,+, > 100,3.53E-10,6.92E-07,7
Cluster-2,regulation of hemostasis ,Blood Clotting,GO:1900046,72,5,0.04,+, > 100,2.90E-10,6.50E-07,5
Cluster-2,positive regulation of cell adhesion ,Cell Adhesion,GO:0045785,488,6,0.26,+,23.01,7.70E-08,8.62E-05,14
Cluster-2,positive regulation of cell-cell adhesion ,Cell Adhesion,GO:0022409,324,5,0.17,+,28.88,4.30E-07,3.07E-04,22
Cluster-2,positive regulation of cell-substrate adhesion ,Cell Adhesion,GO:0010811,129,4,0.07,+,58.04,5.29E-07,3.61E-04,23
Cluster-2,positive regulation of heterotypic cell-cell adhesion ,Cell Adhesion,GO:0034116,15,3,0.01,+, > 100,9.20E-08,9.62E-05,15
Cluster-2,regulation of heterotypic cell-cell adhesion ,Cell Adhesion,GO:0034114,24,3,0.01,+, > 100,3.29E-07,2.72E-04,20
Cluster-2,negative regulation of extrinsic apoptotic signaling pathway via death domain receptors ,Cell Death,GO:1902042,29,3,0.02,+, > 100,5.57E-07,3.64E-04,24
Cluster-2,regulation of cell death ,Cell Death,GO:0010941,1654,8,0.88,+,9.05,2.34E-07,2.15E-04,17
Cluster-2,regulation of ERK1 and ERK2 cascade ,Intracellular Process,GO:0070372,303,5,0.16,+,30.89,3.10E-07,2.70E-04,19
Cluster-2,protein activation cascade ,Metabolic Process,GO:0072376,26,3,0.01,+, > 100,4.11E-07,3.07E-04,21
Cluster-2,cell activation ,Response to Stimulus,GO:0001775,700,6,0.37,+,16.04,6.33E-07,3.82E-04,25
Cluster-2,negative regulation of response to external stimulus ,Response to Stimulus,GO:0032102,391,6,0.21,+,28.72,2.10E-08,2.75E-05,12
Cluster-2,negative regulation of response to wounding ,Wound Healing,GO:1903035,85,5,0.05,+, > 100,6.44E-10,1.12E-06,9
Cluster-2,negative regulation of wound healing ,Wound Healing,GO:0061045,69,5,0.04,+, > 100,2.37E-10,7.43E-07,8
Cluster-2,regulation of response to wounding ,Wound Healing,GO:1903034,162,5,0.09,+,57.77,1.46E-08,2.09E-05,11
Cluster-2,regulation of wound healing ,Wound Healing,GO:0061041,130,5,0.07,+,71.99,5.02E-09,7.88E-06,10
Cluster-20,peptide cross-linking ,Biosynthetic Process,GO:0018149,36,3,0.01,+, > 100,0.000000219,3.43E-03,2
Cluster-20,peptide cross-linking via chondroitin 4-sulfate glycosaminoglycan ,Biosynthetic Process,GO:0019800,6,2,0,+, > 100,0.00000277,1.45E-02,1
Cluster-20,appendage development ,Developmental Process,GO:0048736,181,2,0.06,+,32.5,0.0016,,25
Cluster-20,appendage morphogenesis ,Developmental Process,GO:0035107,145,2,0.05,+,40.57,0.00104,,23
Cluster-20,bone development ,Developmental Process,GO:0060348,216,3,0.07,+,40.85,0.0000402,,7
Cluster-20,bone morphogenesis ,Developmental Process,GO:0060349,100,2,0.03,+,58.83,0.000502,,18
Cluster-20,cartilage development ,Developmental Process,GO:0051216,168,3,0.06,+,52.52,0.0000192,,6
Cluster-20,chondrocyte differentiation ,Developmental Process,GO:0002062,85,2,0.03,+,69.21,0.000365,,16
Cluster-20,connective tissue development ,Developmental Process,GO:0061448,223,3,0.08,+,39.57,0.0000442,,8
Cluster-20,endochondral bone morphogenesis ,Developmental Process,GO:0060350,57,2,0.02,+, > 100,0.000168,,15
Cluster-20,limb development ,Developmental Process,GO:0060173,181,2,0.06,+,32.5,0.0016,,24
Cluster-20,limb morphogenesis ,Developmental Process,GO:0035108,145,2,0.05,+,40.57,0.00104,,22
Cluster-20,skeletal system development ,Developmental Process,GO:0001501,515,4,0.18,+,22.84,0.0000131,4.12E-02,5
Cluster-20,collagen fibril organization ,Extracellular Matrix,GO:0030199,60,3,0.02,+, > 100,0.000000946,7.42E-03,3
Cluster-20,external encapsulating structure organization ,Extracellular Matrix,GO:0045229,283,3,0.1,+,31.18,0.000089,,13
Cluster-20,extracellular matrix organization ,Extracellular Matrix,GO:0030198,280,3,0.1,+,31.51,0.0000862,,11
Cluster-20,extracellular structure organization ,Extracellular Matrix,GO:0043062,281,3,0.1,+,31.4,0.0000872,,12
Cluster-20,supramolecular fiber organization ,Intracellular Process,GO:0097435,580,3,0.2,+,15.21,0.000725,,20
Cluster-20,proteoglycan metabolic process ,Metabolic Process,GO:0006029,87,3,0.03,+, > 100,0.00000279,1.09E-02,4
Cluster-20,aminoglycan metabolic process ,Metabolic Process,GO:0006022,128,2,0.04,+,45.96,0.000813,,21
Cluster-20,chondroitin sulfate metabolic process ,Metabolic Process,GO:0030204,30,2,0.01,+, > 100,0.0000489,,9
Cluster-20,chondroitin sulfate proteoglycan metabolic process ,Metabolic Process,GO:0050654,35,2,0.01,+, > 100,0.0000656,,10
Cluster-20,glycoprotein metabolic process ,Metabolic Process,GO:0009100,346,3,0.12,+,25.5,0.000161,,14
Cluster-20,glycosaminoglycan metabolic process ,Metabolic Process,GO:0030203,117,2,0.04,+,50.28,0.000682,,19
Cluster-20,mucopolysaccharide metabolic process ,Metabolic Process,GO:1903510,89,2,0.03,+,66.1,0.0004,,17
Cluster-21,positive regulation of biological process ,Biologic Process,GO:0048518,6304,27,12.86,+,2.1,0.0000112,1.76E-02,12
Cluster-21,regulation of cell adhesion ,Cell Adhesion,GO:0030155,789,9,1.61,+,5.59,0.0000262,1.87E-02,15
Cluster-21,positive regulation of cell death ,Cell Death,GO:0010942,583,8,1.19,+,6.73,0.0000216,1.99E-02,19
Cluster-21,positive regulation of cell motility ,Cell Motility,GO:2000147,558,8,1.14,+,7.03,0.0000158,1.77E-02,13
Cluster-21,positive regulation of locomotion ,Cell Motility,GO:0040017,574,8,1.17,+,6.83,0.0000194,2.02E-02,21
Cluster-21,regulation of cell motility ,Cell Motility,GO:2000145,989,10,2.02,+,4.96,0.0000242,2.11E-02,22
Cluster-21,microglial cell activation ,Developmental Process,GO:0001774,30,3,0.06,+,49.02,0.000041,2.30E-02,23
Cluster-21,positive regulation of isomerase activity ,Metabolic Process,GO:0010912,8,3,0.02,+, > 100,0.00000128,1.00E-02,5
Cluster-21,regulation of isomerase activity ,Metabolic Process,GO:0010911,8,3,0.02,+, > 100,0.00000128,6.69E-03,2
Cluster-21,defense response ,Immune Function,GO:0006952,1478,15,3.02,+,4.98,0.000000111,1.74E-03,1
Cluster-21,immune response ,Immune Function,GO:0006955,1621,13,3.31,+,3.93,0.0000132,1.73E-02,11
Cluster-21,immune system process ,Immune Function,GO:0002376,2429,17,4.95,+,3.43,0.00000233,9.12E-03,4
Cluster-21,inflammatory response ,Immune Function,GO:0006954,540,8,1.1,+,7.26,0.0000125,1.79E-02,14
Cluster-21,macrophage activation ,Immune Function,GO:0042116,60,4,0.12,+,32.68,0.00000863,1.50E-02,9
Cluster-21,myeloid leukocyte activation ,Immune Function,GO:0002274,148,5,0.3,+,16.56,0.0000143,1.73E-02,10
Cluster-21,regulation of defense response ,Immune Function,GO:0031347,642,8,1.31,+,6.11,0.0000425,2.30E-02,24
Cluster-21,regulation of neutrophil activation ,Immune Function,GO:1902563,15,3,0.03,+,98.04,0.00000627,1.23E-02,8
Cluster-21,regulation of prostaglandin-E synthase activity ,Immune Function,GO:2000361,3,2,0.01,+, > 100,0.0000403,2.34E-02,25
Cluster-21,regulation of protein metabolic process ,Metabolic Process,GO:0051246,2587,16,5.28,+,3.03,0.0000256,1.91E-02,17
Cluster-21,amyloid-beta clearance ,Metabolic Process,GO:0097242,23,3,0.05,+,63.94,0.0000197,1.93E-02,18
Cluster-21,negative regulation of catecholamine metabolic process ,Metabolic Process,GO:0045914,2,2,0,+, > 100,0.0000242,1.90E-02,16
Cluster-21,negative regulation of dopamine metabolic process ,Metabolic Process,GO:0045963,2,2,0,+, > 100,0.0000242,2.00E-02,20
Cluster-21,cellular response to UV-A ,Response to Stimulus,GO:0071492,11,3,0.02,+, > 100,0.00000281,8.82E-03,3
Cluster-21,response to stress ,Response to Stimulus,GO:0006950,3466,20,7.07,+,2.83,0.00000387,1.01E-02,6
Cluster-21,response to UV-A ,Response to Stimulus,GO:0070141,14,3,0.03,+, > 100,0.00000523,1.17E-02,7
Cluster-22,amide biosynthetic process ,Biosynthetic Process,GO:0043604,527,25,3.61,+,6.93,5.11E-14,5.01E-11,16
Cluster-22,peptide biosynthetic process ,Biosynthetic Process,GO:0043043,408,24,2.79,+,8.59,1.96E-15,2.79E-12,10
Cluster-22,peptide metabolic process ,Biosynthetic Process,GO:0006518,537,26,3.68,+,7.07,9.47E-15,1.06E-11,14
Cluster-22,gene expression ,Gene Expression,GO:0010467,2314,54,15.85,+,3.41,1.2E-16,3.13E-13,6
Cluster-22,cellular process ,Intracellular Process,GO:0009987,15044,138,103.03,+,1.34,2.65E-15,3.46E-12,12
Cluster-22,cellular amide metabolic process ,Metabolic Process,GO:0043603,802,29,5.49,+,5.28,2.89E-13,1.97E-10,22
Cluster-22,cellular aromatic compound metabolic process ,Metabolic Process,GO:0006725,3050,57,20.89,+,2.73,1.84E-13,1.52E-10,19
Cluster-22,cellular macromolecule metabolic process ,Metabolic Process,GO:0044260,2518,58,17.24,+,3.36,8.69E-18,3.41E-14,4
Cluster-22,cellular metabolic process ,Metabolic Process,GO:0044237,6606,99,45.24,+,2.19,3.13E-20,2.45E-16,2
Cluster-22,cellular nitrogen compound metabolic process ,Metabolic Process,GO:0034641,3573,74,24.47,+,3.02,4.35E-21,6.81E-17,1
Cluster-22,heterocycle metabolic process ,Metabolic Process,GO:0046483,2999,57,20.54,+,2.78,9.01E-14,8.31E-11,17
Cluster-22,macromolecule metabolic process ,Metabolic Process,GO:0043170,5941,86,40.69,+,2.11,3.34E-15,4.03E-12,13
Cluster-22,metabolic process ,Metabolic Process,GO:0008152,8131,105,55.68,+,1.89,5.35E-17,1.68E-13,5
Cluster-22,nitrogen compound metabolic process ,Metabolic Process,GO:0006807,6710,97,45.95,+,2.11,2.5E-18,1.31E-14,3
Cluster-22,organic cyclic compound metabolic process ,Metabolic Process,GO:1901360,3292,59,22.54,+,2.62,3.28E-13,2.06E-10,24
Cluster-22,organic substance metabolic process ,Metabolic Process,GO:0071704,7697,101,52.71,+,1.92,2.57E-16,5.75E-13,7
Cluster-22,primary metabolic process ,Metabolic Process,GO:0044238,7228,97,49.5,+,1.96,9.34E-16,1.63E-12,9
Cluster-22,"mRNA splicing, via spliceosome ",Gene Expression,GO:0000398,243,18,1.66,+,10.82,2.16E-13,1.69E-10,21
Cluster-22,translation ,Gene Expression,GO:0006412,379,24,2.6,+,9.25,4.14E-16,8.11E-13,8
Cluster-22,cytoplasmic translation ,Gene Expression,GO:0002181,124,16,0.85,+,18.84,1.84E-15,2.88E-12,11
Cluster-22,nucleobase-containing compound metabolic process ,Metabolic Process,GO:0006139,2825,55,19.35,+,2.84,1.18E-13,1.02E-10,18
Cluster-22,RNA processing ,Gene Expression,GO:0006396,868,30,5.94,+,5.05,3.22E-13,2.11E-10,25
Cluster-22,RNA splicing ,Gene Expression,GO:0008380,368,22,2.52,+,8.73,2.38E-14,2.48E-11,15
Cluster-22,"RNA splicing, via transesterification reactions ",Gene Expression,GO:0000375,247,18,1.69,+,10.64,2.8E-13,1.99E-10,23
Cluster-22,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile ",Gene Expression,GO:0000377,243,18,1.66,+,10.82,2.16E-13,1.61E-10,20
Cluster-23,pyridine nucleotide metabolic process ,Metabolic Process,GO:0019362,66,4,0.17,+,23.11,0.0000337,2.52E-02,22
Cluster-23,pyridine-containing compound metabolic process ,Metabolic Process,GO:0072524,73,4,0.19,+,20.89,0.0000491,3.08E-02,25
Cluster-23,cellular process ,Intracellular Process,GO:0009987,15044,52,39.46,+,1.32,0.0000174,1.61E-02,18
Cluster-23,protein folding ,Intracellular Process,GO:0006457,221,6,0.58,+,10.35,0.0000275,2.16E-02,19
Cluster-23,protein folding in endoplasmic reticulum ,Intracellular Process,GO:0034975,11,3,0.03,+, > 100,0.00000603,9.46E-03,10
Cluster-23,regulation of protein metabolic process ,Metabolic Process,GO:0051246,2587,19,6.79,+,2.8,0.0000176,1.53E-02,16
Cluster-23,cellular aromatic compound metabolic process ,Metabolic Process,GO:0006725,3050,23,8,+,2.88,0.000000853,3.34E-03,4
Cluster-23,cellular metabolic process ,Metabolic Process,GO:0044237,6606,33,17.33,+,1.9,0.0000136,1.42E-02,15
Cluster-23,cellular nitrogen compound metabolic process ,Metabolic Process,GO:0034641,3573,24,9.37,+,2.56,0.00000354,6.94E-03,7
Cluster-23,generation of precursor metabolites and energy ,Metabolic Process,GO:0006091,406,11,1.06,+,10.33,8.79E-09,1.38E-04,1
Cluster-23,glucose 6-phosphate metabolic process ,Metabolic Process,GO:0051156,23,4,0.06,+,66.31,0.000000702,3.67E-03,5
Cluster-23,heterocycle metabolic process ,Metabolic Process,GO:0046483,2999,22,7.87,+,2.8,0.0000027,7.05E-03,8
Cluster-23,metabolic process ,Metabolic Process,GO:0008152,8131,38,21.33,+,1.78,0.00000814,1.06E-02,12
Cluster-23,NADP metabolic process ,Metabolic Process,GO:0006739,37,4,0.1,+,41.22,0.00000394,6.87E-03,6
Cluster-23,NADPH regeneration ,Metabolic Process,GO:0006740,16,3,0.04,+,71.49,0.0000159,1.56E-02,17
Cluster-23,nicotinamide nucleotide metabolic process ,Metabolic Process,GO:0046496,66,4,0.17,+,23.11,0.0000337,2.40E-02,21
Cluster-23,nitrogen compound metabolic process ,Metabolic Process,GO:0006807,6710,33,17.6,+,1.88,0.0000271,2.23E-02,20
Cluster-23,organic cyclic compound metabolic process ,Metabolic Process,GO:1901360,3292,23,8.63,+,2.66,0.00000327,7.34E-03,9
Cluster-23,organonitrogen compound metabolic process ,Metabolic Process,GO:1901564,5013,27,13.15,+,2.05,0.0000466,3.04E-02,24
Cluster-23,pentose-phosphate shunt ,Metabolic Process,GO:0006098,13,3,0.03,+,87.99,0.00000925,1.04E-02,11
Cluster-23,primary metabolic process ,Metabolic Process,GO:0044238,7228,34,18.96,+,1.79,0.0000409,2.79E-02,23
Cluster-23,nucleobase-containing compound metabolic process ,Metabolic Process,GO:0006139,2825,22,7.41,+,2.97,0.000000978,3.07E-03,3
Cluster-23,nucleobase-containing small molecule metabolic process ,Metabolic Process,GO:0055086,595,11,1.56,+,7.05,0.000000388,3.04E-03,2
Cluster-23,nucleoside phosphate metabolic process ,Metabolic Process,GO:0006753,525,9,1.38,+,6.54,0.00000915,1.10E-02,13
Cluster-23,nucleotide metabolic process ,Metabolic Process,GO:0009117,517,9,1.36,+,6.64,0.00000811,1.16E-02,14
Cluster-3,2'-deoxyribonucleotide biosynthetic process ,Biosynthetic Process,GO:0009265,16,1,0,+, > 100,2.47E-03,,6
Cluster-3,homophilic cell adhesion via plasma membrane adhesion molecules ,Cell Adhesion,GO:0007156,170,1,0.01,+, > 100,8.31E-03,,24
Cluster-3,positive regulation of cell cycle G1/S phase transition ,Cell Cycle,GO:1902808,58,1,0.01,+, > 100,8.57E-03,,25
Cluster-3,positive regulation of cell cycle G2/M phase transition ,Cell Cycle,GO:1902751,31,1,0,+, > 100,4.65E-03,,16
Cluster-3,positive regulation of G0 to G1 transition ,Cell Cycle,GO:0070318,6,1,0,+, > 100,1.02E-03,,1
Cluster-3,positive regulation of G1/S transition of mitotic cell cycle ,Cell Cycle,GO:1900087,44,1,0.01,+, > 100,6.54E-03,,21
Cluster-3,positive regulation of G2/M transition of mitotic cell cycle ,Cell Cycle,GO:0010971,28,1,0,+, > 100,4.22E-03,,15
Cluster-3,regulation of G0 to G1 transition ,Cell Cycle,GO:0070316,37,1,0.01,+, > 100,5.53E-03,,17
Cluster-3,deoxyribonucleotide biosynthetic process ,Biosynthetic Process,GO:0009263,16,1,0,+, > 100,2.47E-03,,7
Cluster-3,deoxyribose phosphate biosynthetic process ,Biosynthetic Process,GO:0046385,16,1,0,+, > 100,2.47E-03,,8
Cluster-3,DNA synthesis involved in DNA repair ,Gene Expression,GO:0000731,39,1,0.01,+, > 100,5.82E-03,,18
Cluster-3,mitochondrial DNA metabolic process ,Mitochondrial DNA replication ,GO:0032042,17,1,0,+, > 100,2.62E-03,,9
Cluster-3,carbon dioxide transport ,Intercellular Transport,GO:0015670,13,1,0,+, > 100,2.04E-03,,3
Cluster-3,one-carbon compound transport ,Intercellular Transport,GO:0019755,24,1,0,+, > 100,3.64E-03,,11
Cluster-3,oxygen transport ,Intercellular Transport,GO:0015671,15,1,0,+, > 100,2.33E-03,,4
Cluster-3,mitochondrial genome maintenance ,Intracellular Process,GO:0000002,26,1,0,+, > 100,3.93E-03,,12
Cluster-3,protein heterooligomerization ,Intracellular Process,GO:0051291,27,1,0,+, > 100,4.07E-03,,13
Cluster-3,protein heterotetramerization ,Intracellular Process,GO:0051290,15,1,0,+, > 100,2.33E-03,,5
Cluster-3,2'-deoxyribonucleotide metabolic process ,Metabolic Process,GO:0009394,44,1,0.01,+, > 100,6.54E-03,,20
Cluster-3,deoxyribonucleotide metabolic process ,Metabolic Process,GO:0009262,45,1,0.01,+, > 100,6.69E-03,,22
Cluster-3,deoxyribose phosphate metabolic process ,Metabolic Process,GO:0019692,45,1,0.01,+, > 100,6.69E-03,,23
Cluster-3,gas transport ,Metabolic Process,GO:0015669,21,1,0,+, > 100,3.20E-03,,10
Cluster-3,hydrogen peroxide catabolic process ,Metabolic Process,GO:0042744,28,1,0,+, > 100,4.22E-03,,14
Cluster-3,hydrogen peroxide metabolic process ,Metabolic Process,GO:0042743,40,1,0.01,+, > 100,5.96E-03,,19
Cluster-3,mitochondrial DNA replication ,Mitochondrial DNA replication ,GO:0006264,10,1,0,+, > 100,1.60E-03,,2
Cluster-4,biological process involved in interspecies interaction between organisms ,Biologic Process,GO:0044419,1602,10,1.24,+,8.03,4.32E-08,1.35E-04,4
Cluster-4,reactive oxygen species biosynthetic process ,Biosynthetic Process,GO:1903409,15,3,0.01,+, > 100,3.11E-07,4.44E-04,11
Cluster-4,antibacterial humoral response ,Immune Function,GO:0019731,60,4,0.05,+,85.79,1.50E-07,2.94E-04,8
Cluster-4,antimicrobial humoral immune response mediated by antimicrobial peptide ,Immune Function,GO:0061844,104,5,0.08,+,61.87,1.57E-08,8.23E-05,2
Cluster-4,antimicrobial humoral response ,Immune Function,GO:0019730,144,5,0.11,+,44.68,7.57E-08,1.98E-04,6
Cluster-4,defense response to other organism ,Immune Function,GO:0098542,1068,8,0.83,+,9.64,4.76E-07,6.23E-04,12
Cluster-4,humoral immune response ,Immune Function,GO:0006959,339,5,0.26,+,18.98,4.73E-06,3.09E-03,23
Cluster-4,immune system process ,Immune Function,GO:0002376,2429,10,1.89,+,5.3,2.16E-06,1.69E-03,18
Cluster-4,negative regulation of cytokine production ,Immune Function,GO:0001818,286,5,0.22,+,22.5,2.09E-06,1.72E-03,19
Cluster-4,negative regulation of interleukin-8 production ,Immune Function,GO:0032717,19,3,0.01,+, > 100,5.86E-07,7.07E-04,13
Cluster-4,regulation of cytokine production ,Immune Function,GO:0001817,742,7,0.58,+,12.14,7.00E-07,7.84E-04,15
Cluster-4,respiratory burst ,Immune Function,GO:0045730,25,3,0.02,+, > 100,1.24E-06,1.15E-03,17
Cluster-4,hydrogen peroxide metabolic process ,Metabolic Process,GO:0042743,40,3,0.03,+,96.51,4.65E-06,3.17E-03,24
Cluster-4,defense response to bacterium ,Response to Bacteria,GO:0042742,376,6,0.29,+,20.53,2.67E-07,4.19E-04,10
Cluster-4,defense response to Gram-negative bacterium ,Response to Bacteria,GO:0050829,92,4,0.07,+,55.95,7.71E-07,8.06E-04,16
Cluster-4,response to bacterium ,Response to Bacteria,GO:0009617,754,7,0.59,+,11.95,7.79E-07,7.64E-04,14
Cluster-4,response to lipopolysaccharide ,Response to Bacteria,GO:0032496,313,5,0.24,+,20.56,3.22E-06,2.41E-03,21
Cluster-4,response to molecule of bacterial origin ,Response to Bacteria,GO:0002237,331,5,0.26,+,19.44,4.22E-06,3.01E-03,22
Cluster-4,cellular response to L-glutamine ,Response to Stimulus,GO:1904845,3,2,0,+, > 100,5.65E-06,3.28E-03,25
Cluster-4,response to biotic stimulus ,Response to Stimulus,GO:0009607,1478,10,1.15,+,8.71,2.00E-08,7.86E-05,1
Cluster-4,response to external biotic stimulus ,Response to Stimulus,GO:0043207,1432,10,1.11,+,8.99,1.48E-08,1.16E-04,3
Cluster-4,response to external stimulus ,Response to Stimulus,GO:0009605,2469,11,1.92,+,5.73,1.84E-07,3.21E-04,9
Cluster-4,response to lipid ,Response to Stimulus,GO:0033993,843,8,0.66,+,12.21,7.85E-08,1.76E-04,5
Cluster-4,response to other organism ,Response to Stimulus,GO:0051707,1429,10,1.11,+,9,1.45E-08,2.28E-04,7
Cluster-4,response to steroid hormone ,Response to Stimulus,GO:0048545,284,5,0.22,+,22.66,2.02E-06,1.76E-03,20
Cluster-5,negative regulation of blood coagulation ,Blood Clotting,GO:0030195,46,5,0.05,+, > 100,1.50E-09,3.36E-06,8
Cluster-5,negative regulation of coagulation ,Blood Clotting,GO:0050819,50,5,0.05,+,98.04,2.21E-09,3.86E-06,9
Cluster-5,negative regulation of hemostasis ,Blood Clotting,GO:1900047,47,5,0.05,+, > 100,1.66E-09,3.25E-06,7
Cluster-5,regulation of blood coagulation ,Blood Clotting,GO:0030193,70,5,0.07,+,70.03,1.08E-08,1.21E-05,14
Cluster-5,regulation of coagulation ,Blood Clotting,GO:0050818,75,5,0.08,+,65.36,1.50E-08,1.31E-05,18
Cluster-5,regulation of hemostasis ,Blood Clotting,GO:1900046,72,5,0.07,+,68.09,1.24E-08,1.30E-05,17
Cluster-5,regulation of endopeptidase activity ,Metabolic Process,GO:0052548,422,8,0.43,+,18.59,5.40E-09,7.05E-06,12
Cluster-5,regulation of hydrolase activity ,Metabolic Process,GO:0051336,1020,10,1.04,+,9.61,1.98E-08,1.64E-05,19
Cluster-5,regulation of peptidase activity ,Metabolic Process,GO:0052547,452,8,0.46,+,17.35,9.14E-09,1.10E-05,13
Cluster-5,regulation of proteolysis ,Metabolic Process,GO:0030162,743,8,0.76,+,10.56,4.00E-07,2.73E-04,23
Cluster-5,negative regulation of catalytic activity ,Metabolic Process,GO:0043086,781,9,0.8,+,11.3,3.32E-08,2.60E-05,20
Cluster-5,negative regulation of endopeptidase activity ,Metabolic Process,GO:0010951,248,8,0.25,+,31.63,8.99E-11,7.05E-07,4
Cluster-5,negative regulation of hydrolase activity ,Metabolic Process,GO:0051346,363,9,0.37,+,24.31,4.48E-11,7.03E-07,3
Cluster-5,negative regulation of molecular function ,Molecular Function,GO:0044092,1150,9,1.17,+,7.67,8.66E-07,5.66E-04,24
Cluster-5,negative regulation of peptidase activity ,Metabolic Process,GO:0010466,257,8,0.26,+,30.52,1.18E-10,4.64E-07,1
Cluster-5,negative regulation of proteolysis ,Metabolic Process,GO:0045861,345,8,0.35,+,22.73,1.15E-09,3.00E-06,6
Cluster-5,negative regulation of multicellular organismal process ,Multicellular Organismal Process,GO:0051241,1039,9,1.06,+,8.49,3.71E-07,2.64E-04,22
Cluster-5,regulation of multicellular organismal process ,Multicellular Organismal Process,GO:0051239,2750,12,2.8,+,4.28,2.97E-06,1.86E-03,25
Cluster-5,negative regulation of response to external stimulus ,Response to Stimulus,GO:0032102,391,8,0.4,+,20.06,3.00E-09,4.71E-06,10
Cluster-5,regulation of response to external stimulus ,Response to Stimulus,GO:0032101,973,10,0.99,+,10.08,1.27E-08,1.24E-05,16
Cluster-5,regulation of response to stress ,Response to Stimulus,GO:0080134,1373,10,1.4,+,7.14,3.19E-07,2.38E-04,21
Cluster-5,negative regulation of response to wounding ,Wound Healing,GO:1903035,85,6,0.09,+,69.21,3.22E-10,1.01E-06,5
